image_id,input_path,width,height,blur_ms,edge_ms,total_ms
0,input/image_0000.png,256,256,0.0184,0.0061,0.0246
1,input/image_0001.png,256,256,0.0041,0.0061,0.0102
2,input/image_0002.png,256,256,0.0041,0.0051,0.0092
3,input/image_0003.png,256,256,0.0041,0.0081,0.0122
4,input/image_0004.png,256,256,0.0041,0.0072,0.0113
5,input/image_0005.png,256,256,0.0041,0.0082,0.0123
6,input/image_0006.png,256,256,0.0041,0.0072,0.0113
7,input/image_0007.png,256,256,0.0041,0.0041,0.0082
8,input/image_0008.png,256,256,0.0041,0.0072,0.0113
9,input/image_0009.png,256,256,0.0041,0.0074,0.0115
10,input/image_0010.png,256,256,0.0041,0.0059,0.0100
11,input/image_0011.png,256,256,0.0041,0.0074,0.0115
12,input/image_0012.png,256,256,0.0041,0.0061,0.0102
13,input/image_0013.png,256,256,0.0041,0.0082,0.0123
14,input/image_0014.png,256,256,0.0041,0.0061,0.0102
15,input/image_0015.png,256,256,0.0041,0.0072,0.0113
16,input/image_0016.png,256,256,0.0041,0.0061,0.0102
17,input/image_0017.png,256,256,0.0041,0.0051,0.0092
18,input/image_0018.png,256,256,0.0041,0.0041,0.0082
19,input/image_0019.png,256,256,0.0031,0.0082,0.0113
20,input/image_0020.png,256,256,0.0041,0.0072,0.0113
21,input/image_0021.png,256,256,0.0041,0.0081,0.0122
22,input/image_0022.png,256,256,0.0033,0.0082,0.0115
23,input/image_0023.png,256,256,0.0041,0.0092,0.0133
24,input/image_0024.png,256,256,0.0031,0.0072,0.0102
25,input/image_0025.png,256,256,0.0041,0.0060,0.0101
26,input/image_0026.png,256,256,0.0041,0.0063,0.0104
27,input/image_0027.png,256,256,0.0041,0.0064,0.0105
28,input/image_0028.png,256,256,0.0041,0.0061,0.0102
29,input/image_0029.png,256,256,0.0041,0.0081,0.0122
30,input/image_0030.png,256,256,0.0041,0.0082,0.0123
31,input/image_0031.png,256,256,0.0031,0.0064,0.0095
32,input/image_0032.png,256,256,0.0041,0.0083,0.0124
33,input/image_0033.png,256,256,0.0041,0.0051,0.0092
34,input/image_0034.png,256,256,0.0041,0.0061,0.0102
35,input/image_0035.png,256,256,0.0031,0.0061,0.0092
36,input/image_0036.png,256,256,0.0041,0.0061,0.0102
37,input/image_0037.png,256,256,0.0031,0.0041,0.0072
38,input/image_0038.png,256,256,0.0041,0.0072,0.0113
39,input/image_0039.png,256,256,0.0041,0.0061,0.0102
40,input/image_0040.png,256,256,0.0041,0.0070,0.0111
41,input/image_0041.png,256,256,0.0041,0.0059,0.0100
42,input/image_0042.png,256,256,0.0041,0.0063,0.0104
43,input/image_0043.png,256,256,0.0041,0.0051,0.0092
44,input/image_0044.png,256,256,0.0041,0.0051,0.0092
45,input/image_0045.png,256,256,0.0041,0.0061,0.0102
46,input/image_0046.png,256,256,0.0041,0.0051,0.0092
47,input/image_0047.png,256,256,0.0041,0.0072,0.0113
48,input/image_0048.png,256,256,0.0041,0.0060,0.0101
49,input/image_0049.png,256,256,0.0041,0.0082,0.0123
50,input/image_0050.png,256,256,0.0041,0.0051,0.0092
51,input/image_0051.png,256,256,0.0041,0.0051,0.0092
52,input/image_0052.png,256,256,0.0041,0.0061,0.0102
53,input/image_0053.png,256,256,0.0041,0.0051,0.0092
54,input/image_0054.png,256,256,0.0041,0.0061,0.0102
55,input/image_0055.png,256,256,0.0041,0.0041,0.0082
56,input/image_0056.png,256,256,0.0041,0.0073,0.0114
57,input/image_0057.png,256,256,0.0031,0.0061,0.0092
58,input/image_0058.png,256,256,0.0041,0.0102,0.0143
59,input/image_0059.png,256,256,0.0041,0.0061,0.0102
60,input/image_0060.png,256,256,0.0041,0.0061,0.0102
61,input/image_0061.png,256,256,0.0042,0.0061,0.0103
62,input/image_0062.png,256,256,0.0032,0.0041,0.0073
63,input/image_0063.png,256,256,0.0041,0.0051,0.0092
64,input/image_0064.png,256,256,0.0041,0.0082,0.0123
65,input/image_0065.png,256,256,0.0041,0.0061,0.0102
66,input/image_0066.png,256,256,0.0041,0.0061,0.0102
67,input/image_0067.png,256,256,0.0041,0.0051,0.0092
68,input/image_0068.png,256,256,0.0041,0.0060,0.0101
69,input/image_0069.png,256,256,0.0031,0.0072,0.0102
70,input/image_0070.png,256,256,0.0041,0.0061,0.0102
71,input/image_0071.png,256,256,0.0041,0.0072,0.0113
72,input/image_0072.png,256,256,0.0041,0.0061,0.0102
73,input/image_0073.png,256,256,0.0041,0.0041,0.0082
74,input/image_0074.png,256,256,0.0041,0.0060,0.0101
75,input/image_0075.png,256,256,0.0041,0.0031,0.0072
76,input/image_0076.png,256,256,0.0041,0.0060,0.0100
77,input/image_0077.png,256,256,0.0041,0.0072,0.0113
78,input/image_0078.png,256,256,0.0041,0.0061,0.0102
79,input/image_0079.png,256,256,0.0031,0.0072,0.0102
80,input/image_0080.png,256,256,0.0031,0.0061,0.0092
81,input/image_0081.png,256,256,0.0041,0.0072,0.0113
82,input/image_0082.png,256,256,0.0041,0.0051,0.0092
83,input/image_0083.png,256,256,0.0041,0.0092,0.0133
84,input/image_0084.png,256,256,0.0041,0.0061,0.0102
85,input/image_0085.png,256,256,0.0031,0.0061,0.0092
86,input/image_0086.png,256,256,0.0041,0.0051,0.0092
87,input/image_0087.png,256,256,0.0041,0.0061,0.0102
88,input/image_0088.png,256,256,0.0041,0.0061,0.0102
89,input/image_0089.png,256,256,0.0031,0.0051,0.0082
90,input/image_0090.png,256,256,0.0041,0.0041,0.0082
91,input/image_0091.png,256,256,0.0041,0.0061,0.0102
92,input/image_0092.png,256,256,0.0041,0.0072,0.0113
93,input/image_0093.png,256,256,0.0041,0.0071,0.0112
94,input/image_0094.png,256,256,0.0041,0.0051,0.0092
95,input/image_0095.png,256,256,0.0041,0.0051,0.0092
96,input/image_0096.png,256,256,0.0031,0.0051,0.0082
97,input/image_0097.png,256,256,0.0041,0.0051,0.0092
98,input/image_0098.png,256,256,0.0041,0.0051,0.0092
99,input/image_0099.png,256,256,0.0041,0.0061,0.0102
100,input/image_0100.png,256,256,0.0041,0.0092,0.0133
101,input/image_0101.png,256,256,0.0041,0.0041,0.0082
102,input/image_0102.png,256,256,0.0041,0.0072,0.0113
103,input/image_0103.png,256,256,0.0041,0.0072,0.0113
104,input/image_0104.png,256,256,0.0041,0.0072,0.0113
105,input/image_0105.png,256,256,0.0041,0.0051,0.0092
106,input/image_0106.png,256,256,0.0041,0.0051,0.0092
107,input/image_0107.png,256,256,0.0041,0.0051,0.0092
108,input/image_0108.png,256,256,0.0041,0.0041,0.0082
109,input/image_0109.png,256,256,0.0041,0.0061,0.0102
110,input/image_0110.png,256,256,0.0041,0.0051,0.0092
111,input/image_0111.png,256,256,0.0041,0.0051,0.0092
112,input/image_0112.png,256,256,0.0031,0.0061,0.0092
113,input/image_0113.png,256,256,0.0041,0.0051,0.0092
114,input/image_0114.png,256,256,0.0041,0.0059,0.0100
115,input/image_0115.png,256,256,0.0041,0.0051,0.0092
116,input/image_0116.png,256,256,0.0031,0.0051,0.0082
117,input/image_0117.png,256,256,0.0041,0.0061,0.0102
118,input/image_0118.png,256,256,0.0041,0.0060,0.0101
119,input/image_0119.png,256,256,0.0041,0.0082,0.0123
120,input/image_0120.png,256,256,0.0041,0.0061,0.0102
121,input/image_0121.png,256,256,0.0041,0.0063,0.0104
122,input/image_0122.png,256,256,0.0041,0.0083,0.0124
123,input/image_0123.png,256,256,0.0041,0.0031,0.0072
124,input/image_0124.png,256,256,0.0041,0.0061,0.0102
125,input/image_0125.png,256,256,0.0041,0.0051,0.0092
126,input/image_0126.png,256,256,0.0041,0.0051,0.0092
127,input/image_0127.png,256,256,0.0041,0.0061,0.0102
128,input/image_0128.png,256,256,0.0041,0.0061,0.0102
129,input/image_0129.png,256,256,0.0041,0.0059,0.0100
130,input/image_0130.png,256,256,0.0041,0.0051,0.0092
131,input/image_0131.png,256,256,0.0041,0.0092,0.0132
132,input/image_0132.png,256,256,0.0041,0.0061,0.0102
133,input/image_0133.png,256,256,0.0041,0.0052,0.0093
134,input/image_0134.png,256,256,0.0041,0.0102,0.0143
135,input/image_0135.png,256,256,0.0041,0.0061,0.0102
136,input/image_0136.png,256,256,0.0041,0.0051,0.0092
137,input/image_0137.png,256,256,0.0041,0.0061,0.0102
138,input/image_0138.png,256,256,0.0041,0.0082,0.0123
139,input/image_0139.png,256,256,0.0041,0.0061,0.0102
140,input/image_0140.png,256,256,0.0051,0.0071,0.0122
141,input/image_0141.png,256,256,0.0041,0.0059,0.0100
142,input/image_0142.png,256,256,0.0041,0.0060,0.0100
143,input/image_0143.png,256,256,0.0041,0.0051,0.0092
144,input/image_0144.png,256,256,0.0031,0.0061,0.0092
145,input/image_0145.png,256,256,0.0041,0.0060,0.0101
146,input/image_0146.png,256,256,0.0041,0.0051,0.0092
147,input/image_0147.png,256,256,0.0031,0.0041,0.0072
148,input/image_0148.png,256,256,0.0041,0.0061,0.0102
149,input/image_0149.png,256,256,0.0041,0.0051,0.0092
150,input/image_0150.png,256,256,0.0041,0.0032,0.0073
151,input/image_0151.png,256,256,0.0031,0.0041,0.0072
152,input/image_0152.png,256,256,0.0031,0.0061,0.0092
153,input/image_0153.png,256,256,0.0041,0.0061,0.0102
154,input/image_0154.png,256,256,0.0041,0.0061,0.0102
155,input/image_0155.png,256,256,0.0041,0.0051,0.0092
156,input/image_0156.png,256,256,0.0041,0.0051,0.0092
157,input/image_0157.png,256,256,0.0041,0.0051,0.0092
158,input/image_0158.png,256,256,0.0041,0.0061,0.0102
159,input/image_0159.png,256,256,0.0041,0.0051,0.0092
160,input/image_0160.png,256,256,0.0041,0.0061,0.0102
161,input/image_0161.png,256,256,0.0041,0.0061,0.0102
162,input/image_0162.png,256,256,0.0041,0.0061,0.0102
163,input/image_0163.png,256,256,0.0031,0.0051,0.0082
164,input/image_0164.png,256,256,0.0041,0.0041,0.0082
165,input/image_0165.png,256,256,0.0041,0.0051,0.0092
166,input/image_0166.png,256,256,0.0041,0.0060,0.0101
167,input/image_0167.png,256,256,0.0042,0.0051,0.0092
168,input/image_0168.png,256,256,0.0041,0.0061,0.0102
169,input/image_0169.png,256,256,0.0041,0.0060,0.0101
170,input/image_0170.png,256,256,0.0041,0.0070,0.0111
171,input/image_0171.png,256,256,0.0041,0.0061,0.0102
172,input/image_0172.png,256,256,0.0041,0.0061,0.0102
173,input/image_0173.png,256,256,0.0041,0.0061,0.0102
174,input/image_0174.png,256,256,0.0041,0.0041,0.0082
175,input/image_0175.png,256,256,0.0041,0.0051,0.0092
176,input/image_0176.png,256,256,0.0041,0.0061,0.0102
177,input/image_0177.png,256,256,0.0041,0.0060,0.0101
178,input/image_0178.png,256,256,0.0031,0.0061,0.0092
179,input/image_0179.png,256,256,0.0041,0.0060,0.0101
180,input/image_0180.png,256,256,0.0041,0.0031,0.0072
181,input/image_0181.png,256,256,0.0041,0.0061,0.0102
182,input/image_0182.png,256,256,0.0041,0.0051,0.0092
183,input/image_0183.png,256,256,0.0041,0.0072,0.0113
